core_id,core_note,R_pos,R_group_smiles,R_group_note,mean_shap,n,frac_pos
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@8,*O,Hydroxyl (-OH),3.0307729418096034,15,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@7,*O,Hydroxyl (-OH),2.907675103607744,4,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@5,*O,Hydroxyl (-OH),2.889490873560135,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@10,*O,Hydroxyl (-OH),2.876555291496786,37,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@4,*O,Hydroxyl (-OH),2.8682898025182717,24,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@1,*O,Hydroxyl (-OH),2.849068313179891,18,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@3,*O,Hydroxyl (-OH),2.812993758813491,16,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@2,*O,Hydroxyl (-OH),2.6803063459807768,6,1.0
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,Other/complex scaffold,R@8,*O,Hydroxyl (-OH),2.5825042982532977,14,1.0
O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1,Other/complex scaffold,R@3,*O,Hydroxyl (-OH),2.5652656937709253,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@8,*CC=C(C)C,Other/complex group,2.5366939662053483,1,1.0
O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1,Other/complex scaffold,R@18,*[O-],Other/complex group,2.5253342702683206,21,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@8,*CC(C)=CC,Other/complex group,2.481490158024826,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@1,*F,Fluoro (-F),2.4776604735743604,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@NONE,[H],No substituent,2.4759105064858886,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@7,*Cl,Chloro (-Cl),2.4539629325809074,2,1.0
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,Other/complex scaffold,R@6,*O,Hydroxyl (-OH),2.4441687106963297,9,1.0
O=C(Nc1ccncc1)Nc1cc(-c2cccc(-c3ccccc3)c2)n[nH]c1=O,Other/complex scaffold,R@11,*O,Hydroxyl (-OH),2.4236830847415454,3,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@8,*CO,Other/complex group,2.403398161754012,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@9,*[N+](=O)[O-],Other/complex group,2.3767502690679976,1,1.0
O=C(Nc1ccncc1)Nc1cc(-c2cccc(-c3ccccc3)c2)n[nH]c1=O,Other/complex scaffold,R@4,*O,Hydroxyl (-OH),2.37560883900278,2,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@4,*CO,Other/complex group,2.3738618474846374,17,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@1,*CO,Other/complex group,2.366206723511693,7,1.0
O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1,Other/complex scaffold,R@8,*Cl,Chloro (-Cl),2.3592670335244854,21,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@9,*CC=C(C)C,Other/complex group,2.351255559740821,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@3,*CC(C)=CC,Other/complex group,2.346778766339412,1,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@5,*CO,Other/complex group,2.327011226789182,2,1.0
O=C(O[C@@H](Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1,Other/complex scaffold,R@1,*Cl,Chloro (-Cl),2.28300472115734,1,1.0
O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21,Other/complex scaffold,R@8,*Cl,Chloro (-Cl),2.270548367730953,1,1.0
O=C(/C=C/c1ccccc1)c1ccccc1,Other/complex scaffold,R@8,*CC(C)=CC,Other/complex group,2.2697141109711083,1,1.0
O=C(Nc1ccncc1)Nc1cc(-c2cccc(-c3ccccc3)c2)n[nH]c1=O,Other/complex scaffold,R@2,*O,Hydroxyl (-OH),2.25935116484167,3,1.0
O=c1cc(-c2ccccc2)oc2ccccc12,Other/complex scaffold,R@2,*CO,Other/complex group,2.2496223180805828,4,1.0
